R,2438316,1
D,2488768,1
R,2684432,0
D,2734876,0
R,2794636,1
D,2845076,1
R,2903628,0
D,2954072,0
R,3582220,1
D,3632672,1
R,3691216,0
D,3741668,0
R,3785240,1
D,3835684,1
R,3861812,0
D,3912256,0
R,3946512,1
D,3996960,1
R,4018856,0
D,4069312,0
R,4104204,1
D,4154648,1
R,4176036,0
D,4226476,0
R,7754460,1
D,7804916,1
R,7825160,0
D,7875620,0
R,7920060,1
D,7970508,1
R,7997200,0
D,8047652,0
R,8080864,1
D,8131312,1
R,8166592,0
D,8217040,0
R,8259692,1
D,8310136,1
R,8319348,0
D,8369792,0
R,8555740,1
D,8606184,1
R,8668436,0
D,8718880,0
R,12469952,1
D,12520456,1
R,12605088,0
D,12655588,0
R,12801656,1
D,12852152,1
R,13080788,0
D,13131284,0
R,13185040,1
R,13197184,0
R,13230160,1
D,13280648,1
R,13339580,0
D,13390076,0
R,13459228,1
D,13509720,1
R,13708700,0
R,13709196,1
R,13709736,0
D,13760268,0
R,14184820,1
D,14235308,1
R,14408752,0
D,14459240,0
R,14556708,1
D,14607200,1
R,14652504,0
D,14702996,0
R,14874440,1
D,14924932,1
R,14967056,0
D,15017544,0
R,15039340,1
D,15089840,1
R,15117332,0
D,15167828,0
R,15183664,1
D,15234164,1
R,15272416,0
D,15322908,0
R,15578900,1
D,15629400,1
R,15670156,0
D,15720656,0
R,15738580,1
D,15789084,1
R,15822984,0
D,15873480,0
R,15892012,1
D,15942504,1
R,15965552,0
D,16016044,0
